request_title,category,subcategory,urgency_level,priority_label,estimated_people_affected,location_city,location_state,deadline_hours,required_skills,required_items,volunteers_needed,is_medical_emergency,is_disaster_related,transport_required,contact_preference,task_type,effort_level,min_experience_level,shift_type,need_type,family_count,children_involved,elderly_involved,request_description
Cleanup Drive – Pune,cleanup,disaster_cleanup,medium,Medium,0,Pune,Maharashtra,72,cleanup|logistics,cleaning_supplies,30,0,1,0,whatsapp,disaster_cleanup,high,beginner,any,disaster_cleanup,0,0,0,Post-flood cleanup drive in Pune. Need 30 volunteers with cleaning equipment. Situation is soon.
Water & Sanitation Help – Lucknow,water_sanitation,water_distribution,high,High,1000,Lucknow,Uttar Pradesh,6,,water_cans,20,0,0,1,email,water_distribution,medium,beginner,any,water_distribution,0,0,0,Water shortage in Lucknow. Need 20 volunteers for water distribution to 1000 people
Cleanup Drive – Jaipur,cleanup,disaster_cleanup,medium,Medium,0,Jaipur,Rajasthan,24,cleanup|logistics,cleaning_supplies,75,0,1,0,email,disaster_cleanup,high,beginner,any,disaster_cleanup,0,0,0,Post-flood cleanup drive in Jaipur. Need 75 volunteers with cleaning equipment. Situation is soon.
Childcare Support – Chennai,childcare,childcare_support,medium,Medium,30,Chennai,Tamil Nadu,48,teaching|counseling,,3,0,0,0,email,childcare_support,medium,beginner,any,childcare_support,0,1,0,Childcare support needed at relief camp in Chennai for 30 children while parents work. Situation is this week.
Childcare Support – Nashik,childcare,childcare_support,medium,Medium,20,Nashik,Maharashtra,48,teaching|counseling,,2,0,0,0,phone,childcare_support,medium,beginner,any,childcare_support,0,1,0,Childcare support needed at relief camp in Nashik for 20 children while parents work
Cleanup Drive – Indore,cleanup,community_cleanup,low,Low,0,Indore,Madhya Pradesh,96,cleanup,,200,0,0,0,whatsapp,community_cleanup,medium,beginner,weekend,community_cleanup,0,0,0,Community cleanliness drive in Indore this Sunday. Need 200 enthusiastic volunteers
Animal Welfare Help – Nashik,animal_welfare,shelter_support,low,Low,0,Nashik,Maharashtra,72,,,200,0,0,0,whatsapp,shelter_support,medium,beginner,any,shelter_support,0,0,0,Animal shelter in Nashik needs 200 volunteers for feeding and care. Situation is this month.
Childcare Support – Bengaluru,childcare,orphan_support,high,High,20,Bengaluru,Karnataka,6,counseling|teaching,,4,0,1,0,phone,orphan_support,medium,beginner,any,orphan_support,0,1,0,Need volunteers to care for 20 orphaned children in Bengaluru disaster relief camp. Situation is urgently.
Water & Sanitation Help – Patna,water_sanitation,water_distribution,high,High,1000,Patna,Bihar,24,,water_cans,20,0,0,1,phone,water_distribution,medium,beginner,any,water_distribution,0,0,0,Water shortage in Patna. Need 20 volunteers for water distribution to 1000 people. Situation is ASAP.
Food Distribution Need – Mumbai,food_relief,nutrition_support,high,High,30,Mumbai,Maharashtra,48,,nutrition_supplements|food,0,0,0,0,phone,nutrition_support,medium,beginner,any,nutrition_support,0,1,0,Urgent: 30 malnourished children in Mumbai need food supplements and nutrition support
Animal Welfare Help – Ahmedabad,animal_welfare,shelter_support,low,Low,0,Ahmedabad,Gujarat,72,,,75,0,0,0,phone,shelter_support,medium,beginner,any,shelter_support,0,0,0,Animal shelter in Ahmedabad needs 75 volunteers for feeding and care
Animal Welfare Help – Surat,animal_welfare,shelter_support,low,Low,0,Surat,Gujarat,72,,,200,0,0,0,email,shelter_support,medium,beginner,any,shelter_support,0,0,0,Animal shelter in Surat needs 200 volunteers for feeding and care. Situation is this month.
Logistics Volunteer Need – Hyderabad,logistics,medicine_delivery,high,High,150,Hyderabad,Telangana,48,driving|logistics,medicine,0,1,0,1,phone,medicine_delivery,medium,beginner,any,medicine_delivery,0,0,1,Medicine delivery needed for 150 elderly patients in Hyderabad within 48 hours. Bike riders needed
Childcare Support – Chennai,childcare,childcare_support,medium,Medium,200,Chennai,Tamil Nadu,48,teaching|counseling,,20,0,0,0,email,childcare_support,medium,beginner,any,childcare_support,0,1,0,Childcare support needed at relief camp in Chennai for 200 children while parents work
Logistics Volunteer Need – Visakhapatnam,logistics,medicine_delivery,high,High,100,Visakhapatnam,Andhra Pradesh,24,driving|logistics,medicine,0,1,0,1,email,medicine_delivery,medium,beginner,any,medicine_delivery,0,0,1,Medicine delivery needed for 100 elderly patients in Visakhapatnam within 24 hours. Bike riders needed
Mental Health Support – Bhopal,mental_health,awareness_camp,low,Low,0,Bhopal,Madhya Pradesh,72,counseling|teaching,,200,0,0,0,whatsapp,awareness_camp,medium,beginner,weekend,awareness_camp,0,0,0,Mental health awareness camp in Bhopal needs 200 volunteer counselors this weekend
Logistics Volunteer Need – Bhopal,logistics,medicine_delivery,high,High,20,Bhopal,Madhya Pradesh,12,driving|logistics,medicine,0,1,0,1,whatsapp,medicine_delivery,medium,beginner,any,medicine_delivery,0,0,1,Medicine delivery needed for 20 elderly patients in Bhopal within 12 hours. Bike riders needed. Situation is tonight.
Disaster Relief Support – Indore,disaster_relief,earthquake_relief,critical,Critical,150,Indore,Madhya Pradesh,48,,food|medicine|first_aid,0,1,1,1,phone,earthquake_relief,medium,beginner,any,earthquake_relief,0,0,0,Earthquake relief camp in Indore. 150 survivors need medical aid and food within 48 hours
Logistics Volunteer Need – Pune,logistics,medicine_delivery,high,High,30,Pune,Maharashtra,8,driving|logistics,medicine,0,1,0,1,email,medicine_delivery,medium,beginner,any,medicine_delivery,0,0,1,Medicine delivery needed for 30 elderly patients in Pune within 8 hours. Bike riders needed
Disaster Relief Support – Bengaluru,disaster_relief,earthquake_relief,critical,Critical,20,Bengaluru,Karnataka,72,,food|medicine|first_aid,0,1,1,1,whatsapp,earthquake_relief,medium,beginner,any,earthquake_relief,0,0,0,Earthquake relief camp in Bengaluru. 20 survivors need medical aid and food within 72 hours. Situation is critical.
Disaster Relief Support – Bengaluru,disaster_relief,cyclone_relief,critical,Critical,40,Bengaluru,Karnataka,12,,food|shelter|blankets,0,0,1,1,whatsapp,cyclone_relief,medium,beginner,any,cyclone_relief,10,0,0,Cyclone affected 10 families in Bengaluru need immediate shelter and food. Urgent help needed in 12 hours. Situation is emergency.
Childcare Support – Indore,childcare,childcare_support,medium,Medium,20,Indore,Madhya Pradesh,48,teaching|counseling,,2,0,0,0,email,childcare_support,medium,beginner,any,childcare_support,0,1,0,Childcare support needed at relief camp in Indore for 20 children while parents work
Elderly Care Support – Lucknow,elderly_care,home_visits,medium,Medium,300,Lucknow,Uttar Pradesh,72,counseling,,100,0,0,0,whatsapp,home_visits,medium,beginner,any,home_visits,0,0,1,Need 100 volunteers to visit and assist 300 elderly people living alone in Lucknow
Food Distribution Need – Lucknow,food_relief,community_kitchen,medium,Medium,0,Lucknow,Uttar Pradesh,48,food_distribution,,50,0,0,0,whatsapp,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Lucknow needs 50 volunteers to cook meals for homeless people. Situation is this week.
Medical Assistance Request – Chennai,medical,blood_donation,critical,Critical,0,Chennai,Tamil Nadu,6,,blood_donation,50,1,0,0,phone,blood_donation,medium,beginner,any,blood_donation,0,0,0,Need 50 blood donors urgently in Chennai. Patient in critical condition
Education Volunteer Request – Chennai,education,supplies_distribution,low,Low,30,Chennai,Tamil Nadu,72,,school_supplies|books,2,0,0,0,phone,supplies_distribution,medium,beginner,any,supplies_distribution,0,1,0,Distributing school supplies to 30 children in Chennai. Need 2 volunteers
Shelter Support – Guwahati,shelter,winter_relief,medium,Medium,50,Guwahati,Assam,48,,blankets|warm_clothing,0,0,0,0,whatsapp,winter_relief,medium,beginner,any,winter_relief,0,0,0,Winter clothing and blankets needed for 50 homeless people in Guwahati. Situation is this week.
Food Distribution Need – Ahmedabad,food_relief,community_kitchen,medium,Medium,0,Ahmedabad,Gujarat,48,food_distribution,,50,0,0,0,phone,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Ahmedabad needs 50 volunteers to cook meals for homeless people. Situation is this week.
Disaster Relief Support – Kochi,disaster_relief,earthquake_relief,critical,Critical,75,Kochi,Kerala,48,,food|medicine|first_aid,0,1,1,1,phone,earthquake_relief,medium,beginner,any,earthquake_relief,0,0,0,Earthquake relief camp in Kochi. 75 survivors need medical aid and food within 48 hours
Food Distribution Need – Visakhapatnam,food_relief,ration_distribution,high,High,40,Visakhapatnam,Andhra Pradesh,48,,ration_packets,2,0,0,0,whatsapp,ration_distribution,medium,beginner,any,ration_distribution,10,0,0,Ration distribution for 10 poor families in Visakhapatnam. Need volunteers in 48 hours
Fundraising Drive – Mumbai,fundraising,donation_drive,medium,Medium,0,Mumbai,Maharashtra,72,logistics,,150,0,0,0,whatsapp,donation_drive,medium,beginner,any,donation_drive,0,0,0,Fundraising drive for flood victims in Mumbai. Need 150 volunteers for door-to-door campaign
Disaster Relief Support – Guwahati,disaster_relief,flood_relief,critical,Critical,20,Guwahati,Assam,4,,food|blankets,0,0,1,1,phone,flood_relief,medium,beginner,any,disaster_relief,0,0,0,"Flood relief needed for 20 people in Guwahati, need food and blankets urgently within 4 hours"
Medical Assistance Request – Kolkata,medical,medical_camp,medium,Medium,0,Kolkata,West Bengal,72,medical,,10,0,0,0,phone,medical_camp,medium,experienced,weekend,medical_camp,0,0,0,Free medical camp in Kolkata needs 10 volunteer doctors and paramedics this weekend
Fundraising Drive – Guwahati,fundraising,donation_drive,medium,Medium,0,Guwahati,Assam,72,logistics,,10,0,0,0,phone,donation_drive,medium,beginner,any,donation_drive,0,0,0,Fundraising drive for flood victims in Guwahati. Need 10 volunteers for door-to-door campaign
Cleanup Drive – Surat,cleanup,disaster_cleanup,medium,Medium,0,Surat,Gujarat,8,cleanup|logistics,cleaning_supplies,100,0,1,0,phone,disaster_cleanup,high,beginner,any,disaster_cleanup,0,0,0,Post-flood cleanup drive in Surat. Need 100 volunteers with cleaning equipment
Food Distribution Need – Chennai,food_relief,food_distribution,high,High,0,Chennai,Tamil Nadu,24,food_distribution|logistics,,100,0,0,0,whatsapp,food_distribution,medium,beginner,morning,food_distribution,0,0,0,Need 100 volunteers for food distribution in Chennai tomorrow morning
Disaster Relief Support – Bengaluru,disaster_relief,earthquake_relief,critical,Critical,75,Bengaluru,Karnataka,6,,food|medicine|first_aid,0,1,1,1,email,earthquake_relief,medium,beginner,any,earthquake_relief,0,0,0,Earthquake relief camp in Bengaluru. 75 survivors need medical aid and food within 6 hours
Elderly Care Support – Chennai,elderly_care,care_home_support,medium,Medium,0,Chennai,Tamil Nadu,48,counseling|medical,,20,0,0,0,email,care_home_support,medium,beginner,any,care_home_support,0,0,1,Elderly care home in Chennai needs 20 volunteers for daily assistance and companionship
Disaster Relief Support – Patna,disaster_relief,earthquake_relief,critical,Critical,200,Patna,Bihar,4,,food|medicine|first_aid,0,1,1,1,phone,earthquake_relief,medium,beginner,any,earthquake_relief,0,0,0,Earthquake relief camp in Patna. 200 survivors need medical aid and food within 4 hours. Situation is life-threatening.
Disaster Relief Support – Ahmedabad,disaster_relief,rescue_operation,critical,Critical,20,Ahmedabad,Gujarat,24,rescue|driving,,0,0,1,1,email,rescue_operation,medium,beginner,any,rescue_operation,0,0,0,Landslide in Ahmedabad has displaced 20 people. Need rescue and relief within 24 hours
Cleanup Drive – Nagpur,cleanup,disaster_cleanup,medium,Medium,0,Nagpur,Maharashtra,8,cleanup|logistics,cleaning_supplies,10,0,1,0,whatsapp,disaster_cleanup,high,beginner,any,disaster_cleanup,0,0,0,Post-flood cleanup drive in Nagpur. Need 10 volunteers with cleaning equipment. Situation is soon.
Medical Assistance Request – Nagpur,medical,blood_donation,critical,Critical,0,Nagpur,Maharashtra,6,,blood_donation,50,1,0,0,whatsapp,blood_donation,medium,beginner,any,blood_donation,0,0,0,Need 50 blood donors urgently in Nagpur. Patient in critical condition. Situation is immediately.
Elderly Care Support – Delhi,elderly_care,care_home_support,medium,Medium,0,Delhi,Delhi,48,counseling|medical,,20,0,0,0,whatsapp,care_home_support,medium,beginner,any,care_home_support,0,0,1,Elderly care home in Delhi needs 20 volunteers for daily assistance and companionship
Animal Welfare Help – Mumbai,animal_welfare,animal_rescue,medium,Medium,0,Mumbai,Maharashtra,48,rescue|medical,,200,0,1,0,email,animal_rescue,medium,beginner,any,animal_rescue,0,0,0,Stray animals injured in floods in Mumbai. Need 200 volunteers for rescue and care. Situation is tomorrow.
Women Safety Support – Kolkata,women_safety,shelter_support,high,High,30,Kolkata,West Bengal,24,counseling,,0,0,0,0,whatsapp,shelter_support,medium,beginner,any,shelter,0,1,0,Safe shelter needed for 30 women and children in Kolkata escaping domestic violence
Shelter Support – Guwahati,shelter,temporary_shelter,high,High,600,Guwahati,Assam,4,,tarpaulin|blankets,30,0,1,0,email,temporary_shelter,medium,beginner,any,temporary_shelter,150,0,0,Need to set up temporary shelter for 150 displaced families in Guwahati. Volunteers needed urgently
Admin Volunteer Need – Kochi,administration,data_entry,low,Low,0,Kochi,Kerala,168,data_entry,,200,0,0,0,email,data_entry,low,beginner,any,data_entry,0,0,0,Need 200 volunteers for data entry and documentation work for NGO in Kochi. Situation is this month.
Shelter Support – Surat,shelter,temporary_shelter,high,High,120,Surat,Gujarat,72,,tarpaulin|blankets,6,0,1,0,phone,temporary_shelter,medium,beginner,any,temporary_shelter,30,0,0,Need to set up temporary shelter for 30 displaced families in Surat. Volunteers needed urgently
Medical Assistance Request – Ahmedabad,medical,vaccination_drive,medium,Medium,0,Ahmedabad,Gujarat,48,medical|logistics,,200,0,0,0,phone,vaccination_drive,medium,beginner,any,vaccination_drive,0,0,0,Need 200 volunteers to assist in COVID vaccination drive in Ahmedabad
Childcare Support – Jaipur,childcare,childcare_support,medium,Medium,150,Jaipur,Rajasthan,48,teaching|counseling,,15,0,0,0,email,childcare_support,medium,beginner,any,childcare_support,0,1,0,Childcare support needed at relief camp in Jaipur for 150 children while parents work. Situation is within 48 hours.
Disaster Relief Support – Surat,disaster_relief,rescue_operation,critical,Critical,100,Surat,Gujarat,48,rescue|driving,,0,0,1,1,whatsapp,rescue_operation,medium,beginner,any,rescue_operation,0,0,0,Landslide in Surat has displaced 100 people. Need rescue and relief within 48 hours. Situation is immediately.
Awareness Campaign – Chennai,awareness,health_awareness,medium,Medium,0,Chennai,Tamil Nadu,72,teaching|counseling,,200,0,0,0,phone,health_awareness,medium,beginner,any,health_awareness,0,0,0,Awareness campaign about dengue fever prevention in Chennai. Need 200 volunteers. Situation is within 48 hours.
Food Distribution Need – Mumbai,food_relief,food_distribution,high,High,0,Mumbai,Maharashtra,24,food_distribution|logistics,,200,0,0,0,email,food_distribution,medium,beginner,morning,food_distribution,0,0,0,Need 200 volunteers for food distribution in Mumbai tomorrow morning. Situation is ASAP.
Cleanup Drive – Nagpur,cleanup,community_cleanup,low,Low,0,Nagpur,Maharashtra,96,cleanup,,200,0,0,0,whatsapp,community_cleanup,medium,beginner,weekend,community_cleanup,0,0,0,Community cleanliness drive in Nagpur this Sunday. Need 200 enthusiastic volunteers
Disaster Relief Support – Visakhapatnam,disaster_relief,earthquake_relief,critical,Critical,200,Visakhapatnam,Andhra Pradesh,6,,food|medicine|first_aid,0,1,1,1,whatsapp,earthquake_relief,medium,beginner,any,earthquake_relief,0,0,0,Earthquake relief camp in Visakhapatnam. 200 survivors need medical aid and food within 6 hours
Water & Sanitation Help – Nashik,water_sanitation,sanitation,high,High,0,Nashik,Maharashtra,8,cleanup,,100,0,1,0,phone,sanitation,medium,beginner,any,sanitation,0,0,0,Sanitation drive needed at flood relief camp in Nashik. 100 volunteers required immediately. Situation is tonight.
Animal Welfare Help – Delhi,animal_welfare,shelter_support,low,Low,0,Delhi,Delhi,72,,,75,0,0,0,whatsapp,shelter_support,medium,beginner,any,shelter_support,0,0,0,Animal shelter in Delhi needs 75 volunteers for feeding and care. Situation is no rush.
Logistics Volunteer Need – Kochi,logistics,medicine_delivery,high,High,75,Kochi,Kerala,24,driving|logistics,medicine,0,1,0,1,email,medicine_delivery,medium,beginner,any,medicine_delivery,0,0,1,Medicine delivery needed for 75 elderly patients in Kochi within 24 hours. Bike riders needed
Childcare Support – Coimbatore,childcare,orphan_support,high,High,100,Coimbatore,Tamil Nadu,6,counseling|teaching,,20,0,1,0,email,orphan_support,medium,beginner,any,orphan_support,0,1,0,Need volunteers to care for 100 orphaned children in Coimbatore disaster relief camp
Medical Assistance Request – Lucknow,medical,vaccination_drive,medium,Medium,0,Lucknow,Uttar Pradesh,48,medical|logistics,,75,0,0,0,whatsapp,vaccination_drive,medium,beginner,any,vaccination_drive,0,0,0,Need 75 volunteers to assist in COVID vaccination drive in Lucknow. Situation is tomorrow.
Water & Sanitation Help – Jaipur,water_sanitation,water_distribution,high,High,3750,Jaipur,Rajasthan,12,,water_cans,75,0,0,1,email,water_distribution,medium,beginner,any,water_distribution,0,0,0,Water shortage in Jaipur. Need 75 volunteers for water distribution to 3750 people. Situation is tonight.
Childcare Support – Chennai,childcare,childcare_support,medium,Medium,100,Chennai,Tamil Nadu,48,teaching|counseling,,10,0,0,0,whatsapp,childcare_support,medium,beginner,any,childcare_support,0,1,0,Childcare support needed at relief camp in Chennai for 100 children while parents work
Childcare Support – Mumbai,childcare,orphan_support,high,High,10,Mumbai,Maharashtra,6,counseling|teaching,,2,0,1,0,phone,orphan_support,medium,beginner,any,orphan_support,0,1,0,Need volunteers to care for 10 orphaned children in Mumbai disaster relief camp. Situation is tonight.
Food Distribution Need – Patna,food_relief,nutrition_support,high,High,150,Patna,Bihar,24,,nutrition_supplements|food,0,0,0,0,phone,nutrition_support,medium,beginner,any,nutrition_support,0,1,0,Urgent: 150 malnourished children in Patna need food supplements and nutrition support. Situation is within 12 hours.
Disaster Relief Support – Kochi,disaster_relief,rescue_operation,critical,Critical,100,Kochi,Kerala,72,rescue|driving,,0,0,1,1,email,rescue_operation,medium,beginner,any,rescue_operation,0,0,0,Landslide in Kochi has displaced 100 people. Need rescue and relief within 72 hours
Animal Welfare Help – Guwahati,animal_welfare,animal_rescue,medium,Medium,0,Guwahati,Assam,4,rescue|medical,,50,0,1,0,phone,animal_rescue,medium,beginner,any,animal_rescue,0,0,0,Stray animals injured in floods in Guwahati. Need 50 volunteers for rescue and care
Food Distribution Need – Lucknow,food_relief,ration_distribution,high,High,600,Lucknow,Uttar Pradesh,12,,ration_packets,7,0,0,0,whatsapp,ration_distribution,medium,beginner,any,ration_distribution,150,0,0,Ration distribution for 150 poor families in Lucknow. Need volunteers in 12 hours
Medical Assistance Request – Lucknow,medical,blood_donation,critical,Critical,0,Lucknow,Uttar Pradesh,6,,blood_donation,150,1,0,0,whatsapp,blood_donation,medium,beginner,any,blood_donation,0,0,0,Need 150 blood donors urgently in Lucknow. Patient in critical condition. Situation is urgent now.
Elderly Care Support – Nashik,elderly_care,home_visits,medium,Medium,30,Nashik,Maharashtra,72,counseling,,10,0,0,0,phone,home_visits,medium,beginner,any,home_visits,0,0,1,Need 10 volunteers to visit and assist 30 elderly people living alone in Nashik
Admin Volunteer Need – Mumbai,administration,data_entry,low,Low,0,Mumbai,Maharashtra,168,data_entry,,10,0,0,0,phone,data_entry,low,beginner,any,data_entry,0,0,0,Need 10 volunteers for data entry and documentation work for NGO in Mumbai
Mental Health Support – Patna,mental_health,trauma_counseling,high,High,150,Patna,Bihar,12,counseling,,0,0,1,0,email,trauma_counseling,medium,experienced,any,trauma_counseling,0,0,0,Trauma counseling needed for 150 disaster survivors in Patna. Need certified counselors
Disaster Relief Support – Jaipur,disaster_relief,rescue_operation,critical,Critical,200,Jaipur,Rajasthan,48,rescue|driving,,0,0,1,1,whatsapp,rescue_operation,medium,beginner,any,rescue_operation,0,0,0,Landslide in Jaipur has displaced 200 people. Need rescue and relief within 48 hours. Situation is emergency.
Medical Assistance Request – Nashik,medical,blood_donation,critical,Critical,0,Nashik,Maharashtra,6,,blood_donation,75,1,0,0,email,blood_donation,medium,beginner,any,blood_donation,0,0,0,Need 75 blood donors urgently in Nashik. Patient in critical condition
Food Distribution Need – Patna,food_relief,community_kitchen,medium,Medium,0,Patna,Bihar,48,food_distribution,,50,0,0,0,email,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Patna needs 50 volunteers to cook meals for homeless people. Situation is tomorrow.
Disaster Relief Support – Coimbatore,disaster_relief,flood_relief,critical,Critical,10,Coimbatore,Tamil Nadu,8,,food|blankets,0,0,1,1,whatsapp,flood_relief,medium,beginner,any,disaster_relief,0,0,0,"Flood relief needed for 10 people in Coimbatore, need food and blankets urgently within 8 hours. Situation is urgent now."
Disaster Relief Support – Nagpur,disaster_relief,cyclone_relief,critical,Critical,200,Nagpur,Maharashtra,6,,food|shelter|blankets,0,0,1,1,phone,cyclone_relief,medium,beginner,any,cyclone_relief,50,0,0,Cyclone affected 50 families in Nagpur need immediate shelter and food. Urgent help needed in 6 hours. Situation is immediately.
Elderly Care Support – Visakhapatnam,elderly_care,home_visits,medium,Medium,150,Visakhapatnam,Andhra Pradesh,72,counseling,,50,0,0,0,email,home_visits,medium,beginner,any,home_visits,0,0,1,Need 50 volunteers to visit and assist 150 elderly people living alone in Visakhapatnam
Medical Assistance Request – Delhi,medical,medical_camp,medium,Medium,0,Delhi,Delhi,72,medical,,75,0,0,0,whatsapp,medical_camp,medium,experienced,weekend,medical_camp,0,0,0,Free medical camp in Delhi needs 75 volunteer doctors and paramedics this weekend. Situation is soon.
Women Safety Support – Nagpur,women_safety,shelter_support,high,High,50,Nagpur,Maharashtra,24,counseling,,0,0,0,0,whatsapp,shelter_support,medium,beginner,any,shelter,0,1,0,Safe shelter needed for 50 women and children in Nagpur escaping domestic violence
Food Distribution Need – Bhopal,food_relief,food_distribution,high,High,0,Bhopal,Madhya Pradesh,24,food_distribution|logistics,,10,0,0,0,email,food_distribution,medium,beginner,morning,food_distribution,0,0,0,Need 10 volunteers for food distribution in Bhopal tomorrow morning
Food Distribution Need – Kochi,food_relief,community_kitchen,medium,Medium,0,Kochi,Kerala,48,food_distribution,,50,0,0,0,phone,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Kochi needs 50 volunteers to cook meals for homeless people. Situation is tomorrow.
Elderly Care Support – Guwahati,elderly_care,home_visits,medium,Medium,60,Guwahati,Assam,72,counseling,,20,0,0,0,email,home_visits,medium,beginner,any,home_visits,0,0,1,Need 20 volunteers to visit and assist 60 elderly people living alone in Guwahati. Situation is soon.
Cleanup Drive – Jaipur,cleanup,disaster_cleanup,medium,Medium,0,Jaipur,Rajasthan,48,cleanup|logistics,cleaning_supplies,50,0,1,0,phone,disaster_cleanup,high,beginner,any,disaster_cleanup,0,0,0,Post-flood cleanup drive in Jaipur. Need 50 volunteers with cleaning equipment. Situation is this week.
Disaster Relief Support – Patna,disaster_relief,rescue_operation,critical,Critical,100,Patna,Bihar,12,rescue|driving,,0,0,1,1,email,rescue_operation,medium,beginner,any,rescue_operation,0,0,0,Landslide in Patna has displaced 100 people. Need rescue and relief within 12 hours
Water & Sanitation Help – Bhopal,water_sanitation,sanitation,high,High,0,Bhopal,Madhya Pradesh,24,cleanup,,30,0,1,0,phone,sanitation,medium,beginner,any,sanitation,0,0,0,Sanitation drive needed at flood relief camp in Bhopal. 30 volunteers required immediately
Logistics Volunteer Need – Jaipur,logistics,medicine_delivery,high,High,150,Jaipur,Rajasthan,72,driving|logistics,medicine,0,1,0,1,email,medicine_delivery,medium,beginner,any,medicine_delivery,0,0,1,Medicine delivery needed for 150 elderly patients in Jaipur within 72 hours. Bike riders needed. Situation is ASAP.
Food Distribution Need – Surat,food_relief,community_kitchen,medium,Medium,0,Surat,Gujarat,48,food_distribution,,10,0,0,0,email,community_kitchen,medium,beginner,any,community_kitchen,0,0,0,Community kitchen in Surat needs 10 volunteers to cook meals for homeless people. Situation is this week.
Logistics Volunteer Need – Coimbatore,logistics,relief_transport,high,High,0,Coimbatore,Tamil Nadu,48,driving|logistics,,100,0,0,1,email,relief_transport,medium,beginner,any,relief_transport,0,0,0,Relief materials stuck at warehouse in Coimbatore. Need 100 transport volunteers with vehicles within 48 hours. Situation is urgently.
Elderly Care Support – Visakhapatnam,elderly_care,home_visits,medium,Medium,150,Visakhapatnam,Andhra Pradesh,72,counseling,,50,0,0,0,phone,home_visits,medium,beginner,any,home_visits,0,0,1,Need 50 volunteers to visit and assist 150 elderly people living alone in Visakhapatnam. Situation is soon.
Women Safety Support – Bengaluru,women_safety,shelter_support,high,High,200,Bengaluru,Karnataka,6,counseling,,0,0,0,0,whatsapp,shelter_support,medium,beginner,any,shelter,0,1,0,Safe shelter needed for 200 women and children in Bengaluru escaping domestic violence. Situation is ASAP.
Women Safety Support – Nashik,women_safety,shelter_support,high,High,30,Nashik,Maharashtra,6,counseling,,0,0,0,0,whatsapp,shelter_support,medium,beginner,any,shelter,0,1,0,Safe shelter needed for 30 women and children in Nashik escaping domestic violence
