task_title,task_description,task_category,location,disaster_type,requested_volunteers_count,deadline_hours,created_hour,ngo_manual_urgency,priority_label
Community survey volunteers for planning phase,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Awareness,Bihar,None,3,240,16,low,Medium
Relief camp logistics volunteers needed tomorrow,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Food & Nutrition,Bihar,None,5,12,21,high,High
Relief camp logistics volunteers needed tomorrow,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Logistics & Transport,Mumbai,Flood,7,36,7,high,High
Admin assistance for NGO office next week,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Education,Mumbai,None,4,120,11,low,Low
Emergency relief – medical camp setup tonight,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Food & Nutrition,Andhra Pradesh,None,5,3,15,critical,Critical
Critical: trauma support volunteers needed at hospital,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Food & Nutrition,Andhra Pradesh,Cyclone,4,8,17,critical,Critical
Emergency food and water distribution in disaster zone,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Food & Nutrition,Guwahati,Flood,4,3,16,critical,Critical
Sanitation volunteers needed at relief camp,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Shelter,Chennai,None,7,24,19,medium,High
Urgent: stranded flood victims need immediate help,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,Andhra Pradesh,None,5,6,23,critical,Critical
Sanitation volunteers needed at relief camp,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Himachal Pradesh,Cyclone,8,36,12,high,High
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Bihar,Cyclone,8,18,14,high,High
Emergency blood donors required immediately,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Logistics & Transport,Rajasthan,Flood,1,8,19,critical,Critical
Urgent medical volunteers needed at flood relief camp,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Food & Nutrition,Kerala,None,4,12,13,high,Critical
Water distribution support for flood-affected area,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Food & Nutrition,Odisha,None,8,12,15,high,High
Website update volunteer needed,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Fundraising,Karnataka,None,4,504,13,medium,Low
Website update volunteer needed,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Administration,Rajasthan,None,1,504,17,medium,Low
Website update volunteer needed,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Awareness,Assam,None,3,240,11,low,Low
Relief camp logistics volunteers needed tomorrow,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Logistics & Transport,Mumbai,None,6,36,15,medium,High
Water distribution support for flood-affected area,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Food & Nutrition,Chennai,Cyclone,4,30,9,high,High
Community kitchen volunteers needed this week,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,West Bengal,None,7,120,11,medium,Medium
Urgent medical volunteers needed at flood relief camp,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Food & Nutrition,Andhra Pradesh,Landslide,1,6,21,critical,Critical
Volunteers needed this weekend for donation packaging,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Logistics & Transport,Bihar,None,7,72,11,medium,Medium
Skill training session support volunteers,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Awareness,Andhra Pradesh,None,8,72,16,medium,Medium
Website update volunteer needed,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Assam,None,1,336,10,low,Low
Website update volunteer needed,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Awareness,Rajasthan,None,3,240,9,low,Low
Health camp registration volunteers needed Sunday,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Awareness,Guwahati,None,2,48,13,low,Medium
Food distribution volunteers needed this evening,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Shelter,Andhra Pradesh,Cyclone,7,36,12,critical,High
Awareness campaign volunteers needed this Saturday,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Awareness,Rajasthan,None,7,96,14,medium,Medium
Legal aid camp volunteers needed next few days,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Skill Training,Chennai,None,6,48,18,medium,Medium
Sanitation volunteers needed at relief camp,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Bihar,Flood,3,18,9,high,High
Transport volunteers for weekly supply delivery,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Food & Nutrition,Chennai,None,8,96,13,medium,Medium
Food distribution volunteers needed this evening,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Bihar,None,4,48,17,high,High
Awareness campaign volunteers needed this Saturday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Logistics & Transport,Assam,None,10,96,19,medium,Low
Urgent: temporary shelter construction volunteers,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Food & Nutrition,Assam,None,6,12,17,high,High
Shelter setup support needed by tomorrow morning,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Assam,None,4,12,19,high,High
Emergency relief – medical camp setup tonight,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Food & Nutrition,Rajasthan,Cyclone,1,8,18,critical,Critical
Health camp registration volunteers needed Sunday,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Logistics & Transport,Karnataka,None,8,48,13,medium,Medium
Volunteers needed tomorrow for ration distribution,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Rajasthan,Flood,5,30,6,high,High
Health camp registration volunteers needed Sunday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Food & Nutrition,Karnataka,None,3,48,15,medium,Medium
Legal aid camp volunteers needed next few days,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Skill Training,Pune,None,8,72,12,medium,Medium
Fundraising preparation volunteers next week,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Administration,Guwahati,None,3,120,10,low,Medium
Skill training session support volunteers,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Food & Nutrition,Gujarat,None,2,120,10,medium,High
Emergency medical aid volunteers for flood victims,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Food & Nutrition,Uttarakhand,Earthquake,4,3,23,critical,Critical
Emergency blood donors required immediately,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Rescue & Evacuation,West Bengal,Landslide,1,12,19,critical,Critical
Data entry volunteers needed next month,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Awareness,Assam,None,4,168,13,low,Low
Emergency medical aid volunteers for flood victims,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Food & Nutrition,Guwahati,Flood,5,4,14,critical,Critical
Volunteer drivers needed for medicine transport tomorrow,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Guwahati,Cyclone,7,30,6,medium,High
Health camp registration volunteers needed Sunday,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Awareness,Kerala,None,6,120,19,medium,Medium
Emergency relief – medical camp setup tonight,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Logistics & Transport,Himachal Pradesh,Flood,6,2,7,critical,Critical
Urgent: temporary shelter construction volunteers,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Shelter,Bihar,None,2,18,12,high,High
Donation collection drive volunteers this weekend,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Food & Nutrition,Himachal Pradesh,None,5,96,16,high,Medium
Medical camp volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Sanitation,Madhya Pradesh,Cyclone,6,48,15,high,Medium
Emergency relief – medical camp setup tonight,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Rescue & Evacuation,Rajasthan,Flood,4,12,6,critical,Critical
Volunteers needed tomorrow for ration distribution,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Shelter,Mumbai,Flood,3,24,14,high,High
Medical camp volunteers needed this week,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Food & Nutrition,Uttarakhand,None,4,12,10,high,High
Critical medicine delivery volunteers needed today,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,West Bengal,Cyclone,1,4,20,critical,Critical
Emergency blood donors required immediately,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Logistics & Transport,Himachal Pradesh,Flood,6,2,10,critical,Critical
Urgent medical volunteers needed at flood relief camp,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Food & Nutrition,Pune,None,1,4,19,high,Critical
Sanitation volunteers needed at relief camp,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Andhra Pradesh,Flood,2,18,12,high,Critical
Urgent rescue operation – volunteers needed immediately,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Medical,Gujarat,Cyclone,3,8,10,critical,Critical
Urgent rescue operation – volunteers needed immediately,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Medical,Chennai,Cyclone,4,4,20,critical,High
Research assistant volunteer for grant writing,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Awareness,Himachal Pradesh,None,2,168,10,low,Low
Transport volunteers for weekly supply delivery,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Psychosocial Support,Himachal Pradesh,Flood,8,48,8,low,Medium
Volunteer coordinator assistant needed,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Education,Chennai,None,1,504,13,medium,Low
Urgent: temporary shelter construction volunteers,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Logistics & Transport,Himachal Pradesh,None,4,48,13,high,High
Food distribution volunteers needed this evening,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Shelter,Gujarat,None,3,24,12,high,High
Shelter setup support needed by tomorrow morning,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Logistics & Transport,Guwahati,None,3,30,16,high,High
Video editing volunteer for awareness campaign,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Administration,Chennai,None,3,120,15,low,Low
Urgent: temporary shelter construction volunteers,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Rajasthan,Cyclone,3,36,20,critical,High
Help needed for refugee documentation support,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Psychosocial Support,Karnataka,None,9,48,16,medium,Medium
Psychosocial support volunteers needed this week,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Logistics & Transport,Karnataka,Flood,7,48,10,high,High
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Food & Nutrition,Himachal Pradesh,Flood,3,18,21,high,High
Volunteers needed this weekend for donation packaging,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Skill Training,Bihar,Flood,7,48,14,high,Medium
Data entry volunteers needed next month,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Administration,West Bengal,None,3,504,12,low,Low
Relief camp logistics volunteers needed tomorrow,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Food & Nutrition,Uttarakhand,Flood,8,48,11,high,High
Volunteer drivers needed for medicine transport tomorrow,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Shelter,Andhra Pradesh,None,3,30,11,high,High
Community kitchen volunteers needed this week,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Logistics & Transport,Bihar,Flood,5,72,11,high,Medium
Donation collection drive volunteers this weekend,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Food & Nutrition,Andhra Pradesh,None,2,48,12,low,Medium
Psychosocial support volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Shelter,Guwahati,Cyclone,8,48,19,high,High
Help needed for refugee documentation support,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,Chennai,Flood,4,48,13,medium,Medium
Admin assistance for NGO office next week,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Fundraising,Guwahati,None,4,504,12,low,Low
Awareness campaign volunteers needed this Saturday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Awareness,Kerala,None,2,48,18,medium,Medium
Psychosocial support volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Shelter,Bihar,Flood,5,48,16,high,High
Critical medicine delivery volunteers needed today,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Logistics & Transport,Andhra Pradesh,Landslide,3,3,15,critical,Critical
Skill training session support volunteers,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Skill Training,Uttarakhand,Flood,9,48,15,medium,Medium
Legal aid camp volunteers needed next few days,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Logistics & Transport,Guwahati,Flood,5,48,17,medium,Medium
Volunteers needed tomorrow for ration distribution,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Medical,West Bengal,None,4,30,7,high,High
Critical medicine delivery volunteers needed today,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Logistics & Transport,Gujarat,Flood,3,8,18,critical,Critical
Emergency relief – medical camp setup tonight,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,West Bengal,Earthquake,2,4,7,critical,Critical
Help needed for refugee documentation support,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Psychosocial Support,Uttarakhand,None,9,120,12,low,Medium
Food distribution volunteers needed this evening,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Logistics & Transport,Pune,Flood,7,18,16,high,High
Volunteers needed this weekend for donation packaging,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Logistics & Transport,Mumbai,None,8,96,13,medium,Medium
Community kitchen volunteers needed this week,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Logistics & Transport,Odisha,None,4,120,16,medium,Medium
Critical: trauma support volunteers needed at hospital,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Pune,Flood,1,8,6,critical,Critical
Water distribution support for flood-affected area,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Food & Nutrition,Himachal Pradesh,Flood,7,18,17,high,High
Community survey volunteers for planning phase,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Education,Chennai,None,1,336,17,low,Low
Food distribution volunteers needed this evening,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Food & Nutrition,Madhya Pradesh,Cyclone,7,24,9,high,High
Emergency food and water distribution in disaster zone,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,Assam,Landslide,1,4,13,critical,Critical
Admin assistance for NGO office next week,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Administration,West Bengal,None,2,240,10,low,Low
Psychosocial support volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Logistics & Transport,Madhya Pradesh,Flood,7,48,10,high,High
Community survey volunteers for planning phase,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Fundraising,Odisha,None,3,504,13,low,Low
Rescue team needed near landslide zone tonight,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Food & Nutrition,Bihar,Earthquake,4,1,20,critical,Critical
Food distribution volunteers needed this evening,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Shelter,Andhra Pradesh,Flood,6,30,7,medium,High
Health camp registration volunteers needed Sunday,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Food & Nutrition,Karnataka,None,5,72,18,medium,Medium
Social media content creation volunteer needed,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Fundraising,Mumbai,None,3,504,12,low,Low
Emergency food and water distribution in disaster zone,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Rescue & Evacuation,Odisha,Flood,2,4,12,high,Critical
Legal aid camp volunteers needed next few days,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Pune,None,9,96,15,medium,Low
Volunteer drivers needed for medicine transport tomorrow,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Food & Nutrition,Bihar,Flood,7,12,6,medium,High
Medical camp volunteers needed this week,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Logistics & Transport,Karnataka,None,5,18,10,high,High
Skill training session support volunteers,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Skill Training,Gujarat,None,2,96,15,medium,Medium
Medical camp volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Sanitation,West Bengal,Cyclone,4,18,7,medium,High
Health camp registration volunteers needed Sunday,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Food & Nutrition,Guwahati,Flood,7,120,11,medium,Medium
Medical camp volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Medical,Kerala,None,8,12,8,medium,High
Video editing volunteer for awareness campaign,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Fundraising,Chennai,None,2,336,14,low,Low
Help needed for refugee documentation support,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Food & Nutrition,Mumbai,None,2,96,8,medium,Medium
Volunteer coordinator assistant needed,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Administration,Himachal Pradesh,None,3,168,9,low,Low
Video editing volunteer for awareness campaign,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Education,Odisha,None,4,336,13,low,Low
Immediate evacuation support needed in cyclone area,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Medical,Karnataka,Cyclone,6,8,3,critical,Critical
Donation collection drive volunteers this weekend,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Skill Training,Chennai,None,9,96,8,high,Medium
Fundraising preparation volunteers next week,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Administration,Karnataka,None,3,168,9,low,Low
Shelter setup support needed by tomorrow morning,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Logistics & Transport,Assam,Flood,7,18,9,critical,High
Critical: trauma support volunteers needed at hospital,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Logistics & Transport,Madhya Pradesh,Earthquake,1,1,13,critical,Critical
Skill training session support volunteers,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Skill Training,Bihar,None,3,96,10,medium,Medium
Medical camp volunteers needed this week,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Chennai,Flood,8,30,12,medium,High
Psychosocial support volunteers needed this week,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Logistics & Transport,Andhra Pradesh,Cyclone,4,12,21,medium,High
